"id"	"Uniprot"	"Symbol"	"iBAQ.Pet309_1"	"iBAQ.Pet309_2"	"iBAQ.Pet309_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
83	"P33893"	"PET112"	16.8508705099523	17.4114613349329	16.8407041743491	15.4948574366281	15.9968265280207	15.281060671677	1.4434304609695	5.08543793015539	4.13271147801673	0.00705388190149662	0.00413753193910531	0.0151770043740102	0.00747013423587061	4	3.19307287071189	0.260826814183617	0.120844329192849	0.182983874173521	"Not Significant"	"Not Significant"	2.38325864072712	2.15157181571442
85	"P38325"	"OM14"	24.223614061817	23.6206440388695	23.7896490572307	23.2256158018754	23.1248041296928	23.13131942604	0.717389266769684	3.93074955957549	2.31884843703111	0.0170922253251502	0.0525183977632646	0.0251981910168196	0.0563340490087602	4	3.19307287071189	0.260826814183617	0.049963201570059	0.14356754743984	"Not Significant"	"Not Significant"	1.27968853188163	1.76720139055503
86	"Q04689"	"AIM32"	19.6646278323568	17.7484549433391	18.7868566752729	20.9241194919829	21.198504992627	21.0311330964874	-2.31793937670949	-4.14269005947752	-4.62402513967598	0.0143451408892892	0.00224890273846343	0.0226725075376521	0.00488202284968639	4	3.19307287071189	0.260826814183617	0.469602630652329	0.376925077177051	"Significant"	"Significant"	2.64802932671734	1.84329518201956
87	"Q04728"	"ARG7"	21.0258046391699	21.0983482754447	20.6821750741598	20.2506083848867	21.0159050150475	20.7307387865238	0.269691934105483	1.0471037094572	0.798483958422592	0.354151313498262	0.4501448435324	0.265980190107183	0.327029536362096	4	3.19307287071189	0.260826814183617	0.0995056585985764	0.17111764065813	"Not Significant"	"Not Significant"	0.346647720390623	0.450811143124411
88	"Q03153"	"ATP25"	16.9098227844169	13.9226773089854	15.1432636222427	15.7319818819629	14.8798703816748	17.8697263669295	-0.835271638307393	-0.672488357115318	-0.863781009712284	0.538121884074045	0.415579771650792	0.367337483532965	0.309311976603363	4	3.19307287071189	0.260826814183617	2.31407371812125	1.40261805742146	"Not Significant"	"Not Significant"	0.381345599888301	0.26911934592165
90	"P32843"	"YME2"	15.8389330605025	14.3327359012479	15.2775416803311	15.4019794452621	16.0151318869856	16.2563929949064	-0.741431228357529	-1.46022067198516	-1.57874173810118	0.218012644080011	0.157258061692932	0.185665912983889	0.147057347265693	4	3.19307287071189	0.260826814183617	0.386719456439037	0.330834525501554	"Not Significant"	"Not Significant"	0.803387081596448	0.661518317886512
92	"P32875"	"LIP5"	19.0275604822488	18.0975898113758	19.9084014170958	20.8878483016598	21.6192563800564	20.7190846174592	-2.06421252948504	-3.49095374471845	-3.96071244941958	0.0251011214190797	0.00516576214395279	0.0326194828724872	0.00843432864250561	4	3.19307287071189	0.260826814183617	0.524459419418553	0.407430420165907	"Significant"	"Significant"	2.28686559466811	1.6003068755214
93	"Q08622"	"GEP3"	16.4094903831955	16.174137009701	16.8369967701931	17.5629429678458	17.7234743033961	17.8883389561051	-1.25137735475248	-5.80531152191676	-3.89862321658059	0.00438002430369849	0.00560278607094465	0.0117412210986053	0.00851395234071427	4	3.19307287071189	0.260826814183617	0.0696974330000185	0.154541567464195	"Not Significant"	"Not Significant"	2.25159595971733	2.35852347969388
94	"Q12032"	"AIM41"	19.2463462896024	19.4663672723159	19.20079326423	21.8080953384603	21.7824879787304	22.1784934410445	-2.61852331069559	-17.231008092104	-8.72690249451531	6.65609328638955e-05	4.43547907132316e-05	0.00145964461304822	0.000367642976936884	4	3.19307287071189	0.260826814183617	0.0346403901815469	0.135046676505304	"Significant"	"Significant"	4.35305946561904	4.17678059995647
96	"P47025"	"MDV1"	15.617266566813	15.9146887762926	15.4494524065863	15.4401883855505	15.2552941006359	17.0203072070945	-0.244793981196308	-0.42472893531037	-0.47832405792806	0.692884220856431	0.646616384741318	0.450209466690665	0.434015498743026	4	3.19307287071189	0.260826814183617	0.498274924627	0.39286946950563	"Not Significant"	"Not Significant"	0.189353294910688	0.159339328799381
97	"P40033"	"RSM18"	22.62377256094	21.1425807628097	21.3386493447747	22.9633342732525	23.1576146227574	22.8314595682134	-1.28246859856632	-2.70520903059287	-2.85226879114788	0.053803330008067	0.0239080702915876	0.0583305543658095	0.029090530636514	4	3.19307287071189	0.260826814183617	0.337118885337255	0.303252115595077	"Not Significant"	"Not Significant"	1.6214554759769	1.26919084404787
98	"P40047"	"ALD5"	18.4160882744862	19.626742841408	18.4314323106444	17.7004939048879	19.8562005763339	18.0727920692741	0.281592292014235	0.362513264812184	0.438319032259207	0.735310748219135	0.674017887262506	0.458085377570158	0.440530152399571	4	3.19307287071189	0.260826814183617	0.905075855365314	0.619087631367823	"Not Significant"	"Not Significant"	0.171328577891501	0.133529085791969
