"id"	"Uniprot"	"Symbol"	"iBAQ.Mrpl4_1"	"iBAQ.Mrpl4_2"	"iBAQ.Mrpl4_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
85	"P38325"	"OM14"	23.1065182133428	23.059795971796	23.119462974115	23.2256158018754	23.1248041296928	23.13131942604	-0.0653207327848034	-1.75246110376811	-0.246997929456853	0.154571290017286	0.812082946857223	0.0270339463609797	0.113792735180268	4	2.91433266920007	0.246035637940616	0.00208399455689661	0.104907546450079	"Not Significant"	"Not Significant"	0.0903996092778001	0.810871168535098
86	"Q04689"	"AIM32"	18.5452510844237	19.8792571657908	19.9820354396748	20.9241194919829	21.198504992627	21.0311330964874	-1.58240463040266	-3.36976994195257	-3.56789148338169	0.0280497004100606	0.00931181034159172	0.00675234969010929	0.00241407782181643	4	2.91433266920007	0.246035637940616	0.330769795694304	0.295055065733633	"Significant"	"Significant"	2.03096587810215	1.55207177294445
87	"Q04728"	"ARG7"	18.0782237914436	18.4153456592753	17.9332987654631	20.2506083848867	21.0159050150475	20.7307387865238	-2.52346132342532	-9.5206220585884	-7.61626793734833	0.000679523490981683	0.000132625243113044	0.000582346099721582	0.000138467887718597	4	2.91433266920007	0.246035637940616	0.105378961446827	0.164664559502146	"Significant"	"Significant"	3.87737380699215	3.16779552520466
90	"P32843"	"YME2"	16.6794955351191	15.0795681163924	17.1216311107618	15.4019794452621	16.0151318869856	16.2563929949064	0.402396811706393	0.600248474415473	0.701413852680459	0.580690933666987	0.505959059985764	0.0852135963537433	0.0766623742174924	4	2.91433266920007	0.246035637940616	0.674121519851481	0.493686945675794	"Not Significant"	"Not Significant"	0.295884622965722	0.236054954557577
91	"Q08230"	"SDH5"	16.8353190328641	18.5328657343818	17.8286695599155	19.7750379345596	20.2967011627767	18.2514639182047	-1.70878289612654	-2.17203462813231	-2.61442645201385	0.0955922311610292	0.0350691995432192	0.0184689580964112	0.00716632997701186	4	2.91433266920007	0.246035637940616	0.928392334927527	0.640784765373534	"Not Significant"	"Significant"	1.45507414680542	1.01957740166735
92	"P32875"	"LIP5"	17.5697814547476	18.1394114566357	17.6111545095004	20.8878483016598	21.6192563800564	20.7190846174592	-3.30194729276394	-9.95827673305173	-9.0630036246294	0.000571173740737631	4.39385919681331e-05	0.000582346099721582	0.000104566001897985	4	2.91433266920007	0.246035637940616	0.164916135944458	0.199107319112391	"Significant"	"Significant"	4.35715386435379	3.2432317671193
93	"Q08622"	"GEP3"	17.8338042617785	18.9901482937763	18.2287717270023	17.5629429678458	17.7234743033961	17.8883389561051	0.625989351736667	1.77782638916874	1.66791962135824	0.150063965126875	0.139797406340689	0.0266630023630549	0.0242935004582201	4	2.91433266920007	0.246035637940616	0.185971525661366	0.211288040361573	"Not Significant"	"Not Significant"	0.854500885974999	0.823723582409569
94	"Q12032"	"AIM41"	15.6739032251064	18.6762463586412	17.1212119240625	21.8080953384603	21.7824879787304	22.1784934410445	-4.76590508347501	-5.438798357367	-6.65178455434663	0.00554744325823528	0.000305957363823536	0.00199752676897992	0.000210236709229469	4	2.91433266920007	0.246035637940616	1.1517974726447	0.770026529347278	"Significant"	"Significant"	3.51433908968276	2.2559071312341
96	"P47025"	"MDV1"	17.4792572268769	17.6482613118373	16.4199437236592	17.3486405282907	16.5056279180505	17.0203072070945	0.224295536312554	0.491876742688495	0.515346810739764	0.648578064151089	0.622372772681435	0.0932594162511264	0.0924011310217659	4	2.91433266920007	0.246035637940616	0.311903281471929	0.284140627493532	"Not Significant"	"Not Significant"	0.205949414946479	0.188037743882655
97	"P40033"	"RSM18"	22.1539403805843	20.9664181422411	20.872599737947	22.9633342732525	23.1576146227574	22.8314595682134	-1.65315006781699	-3.90716414552655	-3.97802212833545	0.0174355483063071	0.00547247481849024	0.00469878080328607	0.00162114627589552	4	2.91433266920007	0.246035637940616	0.268529809471274	0.259048706652718	"Significant"	"Significant"	2.2618162281549	1.75856439055016
98	"P40047"	"ALD5"	18.6743853944722	19.0694655017138	18.7096761955987	17.7004939048879	19.8562005763339	18.0727920692741	0.274680180429571	0.405655639809619	0.475014183518402	0.705756946938852	0.649414572347942	0.0992750235934824	0.0949160783598633	4	2.91433266920007	0.246035637940616	0.687750429679332	0.501571385421403	"Not Significant"	"Not Significant"	0.18747797037695	0.151344838292824
101	"P42844"	"ZIM17"	16.7195711798443	18.5787264809668	18.1367608678958	21.4689143408143	22.8727688026717	22.2234962258632	-4.37670694688077	-6.32383236358122	-7.43805259471594	0.00319955361703502	0.000153759753598287	0.00147418892580774	0.000148944602575236	4	2.91433266920007	0.246035637940616	0.718497891588704	0.519359052506811	"Significant"	"Significant"	3.8131573256367	2.49491060767419
103	"A6ZTE8"	"MGR1"	18.1232828087375	18.9788277448022	18.9658969908096	15.8886250751338	15.5817596121007	16.5983724172175	2.66641681329914	6.4527583426054	6.50701816857149	0.00296925728125153	0.000349646765595804	0.00143360319506548	0.000222905878989854	4	2.91433266920007	0.246035637940616	0.256127691614891	0.251873976451131	"Significant"	"Significant"	3.45637048484228	2.52735216987218
