"id"	"Uniprot"	"Symbol"	"iBAQ.Cbp1_1"	"iBAQ.Cbp1_2"	"iBAQ.Cbp1_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
83	"P33893"	"PET112"	-3.42340638557209	-3.29389816969222	-2.78613708365508	-3.21359483843348	-5.4302307144548	-5.81458588622018	1.65165660006302	1.98142814288211	2.38795853170058	0.118607630378152	0.0520787874671145	0.0470179350580105	0.0243435218952405	4	2.3212036633054	0.158116233698003	1.04225531643616	0.717591377883334	"Not Significant"	"Not Significant"	1.28333913585445	0.925887370630023
85	"P38325"	"OM14"	2.57707296011609	3.50914715434565	3.20246510327921	2.24284952285985	1.69774688721735	2.03567286814281	1.10413864650699	3.48368187046753	3.45254740420669	0.0252673334253469	0.0125111071858217	0.0145064660587946	0.00779752951312011	4	2.3212036633054	0.158116233698003	0.150682044579478	0.153411946657432	"Not Significant"	"Not Significant"	1.90270425518142	1.59744058869995
86	"Q04689"	"AIM32"	-0.288524078789138	0.26846579637472	-0.064137807164677	-0.0586467870326324	-0.228552249848505	-0.0645134614098275	0.0891721362372901	0.521135434412845	0.372732313403264	0.629793043333935	0.721527853538258	0.182043672607887	0.217300442886902	4	2.3212036633054	0.158116233698003	0.0439185904409435	0.0858530070470554	"Not Significant"	"Not Significant"	0.141746898937116	0.200802140870594
87	"Q04728"	"ARG7"	1.21686007421597	1.58729411268141	1.37843421403242	-0.732157894128818	-0.411152227427966	-0.364907771373403	1.89693543128666	12.0373859222326	8.13137492107665	0.000273086742442531	0.000141816276566586	0.00104138843260261	0.00038761462502225	4	2.3212036633054	0.158116233698003	0.0372504897673842	0.081633493784246	"Significant"	"Significant"	3.84827392135757	3.56369938306718
88	"Q03153"	"ATP25"	-1.94719243826321	-1.19170874328368	-1.49068120012891	-5.2507843970526	-6.54718686080065	-3.22592019096771	3.46476968904838	3.49597562736161	4.26402200641948	0.0249870956484584	0.00470548072923179	0.0145064660587946	0.00367223049943027	4	2.3212036633054	0.158116233698003	1.47334077892616	0.990378325086098	"Significant"	"Significant"	2.32739600084724	1.60228422075033
90	"P32843"	"YME2"	-5.59622751962905	-5.5899964842252	-5.84122781843671	-5.58078683375341	-5.41192535548985	-4.83925356299082	-0.398495356685631	-1.66625758402273	-1.45606413262405	0.170990841546183	0.193178252997859	0.0624321397543535	0.0713470030380603	4	2.3212036633054	0.158116233698003	0.0857933273267526	0.11235095846026	"Not Significant"	"Not Significant"	0.714041765780877	0.767027150265578
92	"P32875"	"LIP5"	0.188702775229135	-0.185791694783369	-0.109892741578633	-0.094917977355685	0.192199137580957	-0.376561940437991	0.0574330396932841	0.287082521569198	0.226963687112405	0.788306778026843	0.827615163282833	0.216148181937278	0.239602044603662	4	2.3212036633054	0.158116233698003	0.060034563777062	0.0960510479231447	"Not Significant"	"Not Significant"	0.0821715609379919	0.103304739266114
93	"Q08622"	"GEP3"	-4.11862565530145	-3.23444067797736	-3.39658858033346	-3.41982331116971	-3.70358293907938	-3.20730760179206	-0.139647020523707	-0.454220495531524	-0.444907102253064	0.673225811295654	0.671218308072477	0.190045808661612	0.204245521066979	4	2.3212036633054	0.158116233698003	0.141782018129647	0.147780091128716	"Not Significant"	"Not Significant"	0.173136206252042	0.171839241643953
94	"Q12032"	"AIM41"	-0.611116769475572	-2.68437712688073	-0.561132242313892	0.825329059444741	0.35543073625492	1.08284688314732	-2.04007760583906	-2.78981322690321	-3.3222020981077	0.0493214538809166	0.0147761838041443	0.0242951386919476	0.00890020050944181	4	2.3212036633054	0.158116233698003	0.802110826400289	0.56563013579907	"Significant"	"Significant"	1.83043771525128	1.3069641299037
96	"P47025"	"MDV1"	-2.58644827700967	-3.32553602940881	-3.36930195830742	-4.289856853162	-4.25125898857043	-4.07533935080273	1.11172297593642	4.23655491902636	3.87565025438134	0.0133001271166693	0.00742031045314532	0.00878730020771122	0.00508363726553606	4	2.3212036633054	0.158116233698003	0.103290110126835	0.12342276296588	"Not Significant"	"Not Significant"	2.12957792419976	1.87614420822057
97	"P40033"	"RSM18"	2.81195100073256	3.6995549630271	3.04282112662689	1.980567994237	1.73055738028193	1.73581301031622	1.36912956851713	4.91827177300711	4.62204014742855	0.0079392196084149	0.00315427701206495	0.00629446369967269	0.00272201344538755	4	2.3212036633054	0.158116233698003	0.11623992263964	0.13161728616277	"Not Significant"	"Not Significant"	2.50110016911478	2.10022218477892
98	"P40047"	"ALD5"	-4.30713793251373	-3.60108528823308	-4.81523448339865	-3.2822723741276	-1.57085666614159	-3.02285448862308	-1.6158247250844	-2.53115940657103	-2.96702395007824	0.0645849556261246	0.0235461228665971	0.0300364465059575	0.0130445218881568	4	2.3212036633054	0.158116233698003	0.611280812582495	0.444874644293195	"Not Significant"	"Significant"	1.62808059410895	1.18986863447357
100	"P53921"	"YNL122C"	-4.0944829665795	0.757155745899539	0.893500026457499	0.57799568717083	-1.39760823909938	0.966259871020693	-0.863491504438202	-0.480713448255394	-0.598656916390081	0.655830574381904	0.570219272905885	0.186334922085554	0.180833642769005	4	2.3212036633054	0.158116233698003	4.83988289084082	3.12069545532345	"Not Significant"	"Not Significant"	0.243958108010032	0.183208340676975
