"id"	"Uniprot"	"Symbol"	"iBAQ.Pet309_1"	"iBAQ.Pet309_2"	"iBAQ.Pet309_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
83	"P33893"	"PET112"	-3.15930789406828	-2.32940642306439	-2.4952225898084	-5.90410762794065	-5.50603052112416	-5.8755359809012	3.10057907434164	10.9128397030723	10.5407731089112	0.000400378933041882	3.38669459193588e-05	0.00169382853178585	0.000450449709631566	4	2.21923162404909	0.145466822822632	0.121088062571084	0.12978722654757	"Significant"	"Significant"	4.47022396574608	3.39752878210272
85	"P38325"	"OM14"	4.2134356577965	3.87977628087216	4.45372229307323	2.24184003647997	1.62194708054799	1.97472277346179	2.23614144708404	9.1351442269528	8.268228499864	0.000796833737561368	0.000140253684127705	0.00211419348375667	0.000626398629180248	4	2.21923162404909	0.145466822822632	0.0898791558625732	0.109714710458714	"Significant"	"Significant"	3.85308572204814	3.09863228637333
86	"Q04689"	"AIM32"	-0.345550571663772	-1.99241281465823	-0.549070088884609	-0.0596562734125072	-0.304352056517857	-0.125463556090853	-0.79918719639513	-1.5266105908728	-1.74037210843606	0.201563661446746	0.130695611899655	0.0910076408094497	0.0632118629184394	4	2.21923162404909	0.145466822822632	0.411085115470185	0.3163035490963	"Not Significant"	"Not Significant"	0.883738993595875	0.695587761193056
87	"Q04728"	"ARG7"	1.0156262351494	1.35748051744742	1.34624831000228	-0.733167380508693	-0.486952034097317	-0.425857866054429	1.78844411441985	12.2272172706928	8.13223322736551	0.000256873226106489	0.000154301770915276	0.00163677766097214	0.000626398629180248	4	2.21923162404909	0.145466822822632	0.0320912584200874	0.0725474840643626	"Significant"	"Significant"	3.81162908952779	3.59028115988379
88	"Q03153"	"ATP25"	-3.10035561960361	-5.81819044901187	-4.19266314191481	-5.25179388343247	-6.62298666747001	-3.28687028564873	0.68348054200697	0.547097045969146	0.670722613108332	0.61340273060148	0.526508599046522	0.224886170681637	0.200798992456324	4	2.21923162404909	0.145466822822632	2.34107231821173	1.55760621759862	"Not Significant"	"Not Significant"	0.278594531433941	0.212254295059573
90	"P32843"	"YME2"	-4.17124534351806	-5.40813185674937	-4.05838508382639	-5.58179632013329	-5.4877251621592	-4.90020365767184	0.777320951956832	1.61246590381026	1.8117885184608	0.182155275484052	0.118240054635313	0.0833363383183585	0.0587910358831038	4	2.21923162404909	0.145466822822632	0.348586791197179	0.276106735051727	"Not Significant"	"Not Significant"	0.927235378274272	0.739558246434496
92	"P32875"	"LIP5"	-0.982617921771762	-1.64327794662156	0.572474652938311	-0.0959274637355598	0.116399330911605	-0.437512035119017	-0.545460349170678	-0.80653342085704	-0.951285532500197	0.465155566450559	0.376950507435543	0.180808018061077	0.150786673266203	4	2.21923162404909	0.145466822822632	0.686077054613293	0.493169088613911	"Not Significant"	"Not Significant"	0.423715667721664	0.332401777535549
93	"Q08622"	"GEP3"	-3.60068802082507	-3.96224549000791	-3.42139854203444	-3.42083279754959	-3.77938274574873	-3.26825769647309	-0.171952937698676	-0.782831775824135	-0.671175815235697	0.477477539955987	0.526238642217994	0.182173313055	0.200798992456324	4	2.21923162404909	0.145466822822632	0.0723724987231885	0.0984550191028313	"Not Significant"	"Not Significant"	0.278817264410967	0.32104705235791
94	"Q12032"	"AIM41"	-0.763832114418108	-0.274500485681401	-0.135133499927448	0.824319573064866	0.279630929585569	1.02189678846629	-1.09977113038123	-3.75892615570458	-3.67283917820575	0.0197932915404277	0.00977684142794345	0.0162423392125987	0.00832240453982219	4	2.21923162404909	0.145466822822632	0.128400968925314	0.134490641243335	"Not Significant"	"Not Significant"	2.00980142864537	1.70348197845766
96	"P47025"	"MDV1"	-4.39291183720755	-3.82617898170467	-2.99886954148527	-4.71161555025402	-5.24128878531998	-4.13628944548376	0.957077806886754	1.85694383222732	2.11147884416289	0.136883986081826	0.0775843030271651	0.0670766381701072	0.0421190004082072	4	2.21923162404909	0.145466822822632	0.398463197121588	0.308185556963774	"Not Significant"	"Not Significant"	1.11022613696684	0.863647356563567
97	"P40033"	"RSM18"	2.61359415691949	1.40171300481236	2.00272258061719	1.97955850785713	1.65475757361258	1.67486291563519	0.236283581748048	0.646850514438136	0.680890693944142	0.552974890508974	0.520473231317932	0.206408102812271	0.199930426759702	4	2.21923162404909	0.145466822822632	0.200147649613257	0.180635686178151	"Not Significant"	"Not Significant"	0.2836016019649	0.257294588697069
98	"P40047"	"ALD5"	-1.59409012953433	-0.114124916589287	-0.904494453513117	-3.28328186050748	-1.64665647281095	-3.0838045833041	1.8003444723286	2.68807089461719	3.16723697463557	0.0547675884890063	0.0184676971906966	0.0337066379893492	0.013936505686077	4	2.21923162404909	0.145466822822632	0.672854314006598	0.484664667871282	"Not Significant"	"Significant"	1.73358725505915	1.26147638138224
100	"P53921"	"YNL122C"	1.2457975640707	-1.30036352680875	-0.0649015135409137	0.576986200790955	-1.47340804576873	0.905309776339667	-0.0427851358802878	-0.0409000846602109	-0.0497897754340899	0.96933562218044	0.961850633198382	0.315402355343815	0.323942854803461	4	2.21923162404909	0.145466822822632	1.64145384773254	1.10763521618176	"Not Significant"	"Not Significant"	0.0168923647753501	0.0135258270520966
