"iBAQ.Cbp3_1"	"iBAQ.Cbp3_2"	"iBAQ.Cbp3_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"id"	"Uniprot"	"Symbol"
1243000	0	0	0	0	0	82	"A5Z2X5"	"YPR010C-A"
823430	0	169100	0	0	0	99	"P40156"	"RRG9"
5633900	380240	3306600	0	0	0	107	"Q02888"	"INA17"
140050	0	106950	0	0	0	110	"C8ZCI0"	"MIC60"
25370	33247	85492	0	0	0	112	"P46943"	"GUF1"
2337700	855010	1464300	0	0	0	126	"P00127"	"QCR6"
1505000	756230	601630	0	0	0	137	"P00445"	"SOD1"
165710	0	0	0	0	0	184	"P06182"	"CYC3"
8200.4	112760	0	0	0	0	194	"P07252"	"CBP1"
0	15109	23428	0	0	0	262	"P13433"	"RPO41"
0	0	3205.3	0	0	0	273	"P14905"	"CBS2"
198580	180410	229870	0	0	0	296	"P19516"	"COX11"
528970	240950	366560	0	0	0	321	"P23833"	"SCO1"
368660	0	193040	0	0	0	331	"P25379"	"CHA1"
0	0	83088	0	0	0	453	"P38345"	"SDH8"
741880	731980	955730	0	0	0	505	"P40513"	"MAM33"
0	30259	0	0	0	0	528	"P47007"	"YJL147C"
132480	0	0	0	0	0	534	"P47141"	"RSM26"
0	28207	0	0	0	0	564	"P53230"	"TAM41"
223470	136840	248950	0	0	0	568	"P53266"	"SHY1"
1750300	896360	1583300	0	0	0	602	"Q01519"	"COX12"
170210	93586	109350	0	0	0	640	"Q04458"	"HFD1"
0	860290	906410	0	0	0	679	"Q12165"	"ATP16"
