"iBAQ.Cbp1_1"	"iBAQ.Cbp1_2"	"iBAQ.Cbp1_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"id"	"Uniprot"	"Symbol"
0	0	0	897180	1288000	312060	91	"Q08230"	"SDH5"
0	0	0	0	249390	0	125	"P00045"	"CYC7"
0	0	0	990630	1074200	506040	136	"P00427"	"COX6"
0	0	0	10827000	12276000	9773100	149	"P01097"	"INH1"
0	0	0	233680	433190	283860	189	"P07143"	"CYT1"
0	0	0	0	928300	664460	212	"P08525"	"QCR8"
0	0	0	46787	0	0	224	"P0CI40"	"SAL1"
0	0	0	480200	743170	582030	246	"P10507"	"MAS1"
0	0	0	341590	321270	661460	267	"P14066"	"CBS1"
0	0	0	0	281200	0	271	"P14693"	"SAM35"
0	0	0	44484	612530	449270	280	"P16451"	"PDX1"
0	0	0	0	866470	0	304	"P21592"	"COX10"
0	0	0	366280	248230	129030	371	"P32451"	"BIO2"
0	0	0	1945500	1591400	1935400	387	"P32860"	"NFU1"
0	0	0	0	95158	0	451	"P38300"	"MBA1"
0	0	0	190030	711050	908740	463	"P38797"	"PTC7"
0	0	0	43626	85546	49791	479	"P39925"	"AFG3"
0	0	0	4754300	4473000	1895100	492	"P40099"	"FAU1"
0	0	0	147820	0	0	500	"P40452"	"COA1"
0	0	0	438610	715690	289600	503	"P40502"	"AIM19"
0	0	0	30006	0	0	539	"P48527"	"MSY1"
0	0	0	213910	367420	44027	541	"P48569"	"YDL183C"
0	0	0	0	362850	0	546	"P49334"	"TOM22"
0	0	0	812040	595920	507480	557	"P53163"	"MNP1"
0	0	0	232840	333160	126480	558	"P53170"	"PKP2"
0	0	0	200150	299070	326590	565	"P53234"	"YGR053C"
0	0	0	499340	388630	434850	606	"Q01976"	"YSA1"
0	0	0	856960	990940	1045400	622	"Q03020"	"ISU1"
0	0	0	0	0	63395	624	"Q03104"	"MSC1"
0	0	0	21179	17449	12228	644	"Q04748"	"SOV1"
0	0	0	0	0	134800	647	"Q05863"	"YLR281C"
0	0	0	273220	256250	38080	660	"Q07349"	"YDL027C"
0	0	0	1197800	1160100	0	696	"Q12497"	"FMP16"
